,id,recipe_name,recipe_image,nb_missed_ing,missed_ing,missing_prices,total_missing,instructions,price_per_serving,vegetarian,vegan,gluten_free,dairy_free
0,574546,Real Men Cook: Baked Caprese Tomatoes,https://spoonacular.com/recipeImages/574546-312x231.jpg,2,"['fresh basil leaves', 'tomatoes']","[('fresh basil leaves', 0.0196), ('tomatoes', 0.528)]",0.5476,"Preheat oven to 450.Slice your tomatoes in "" slices and place on baking sheet.Place 1 slice of fresh mozzarella on each slice of tomato.Season with olive oil, salt, and pepper.Place 1 fresh basil leaf on each tomato mozzarella slice.Put in oven and bake for 8-10 minutes. (or until cheese is melted and slightly browned)Serve them up and scarf down!",0.4474,True,False,True,False
1,1032938,Hasselback Pepperoni Pizza Zucchini,https://spoonacular.com/recipeImages/1032938-312x231.jpg,2,"['pizza mix', 'zucchini']","[('pizza mix', 0.0129), ('zucchini', 0.0029)]",0.0158,"Preheat the oven to 400 F. Spray a baking sheet with cooking spray or line with a silicone baking mat.

Set two wooden spoons or chopsticks on either side of the zucchini, then slice the zucchini into thin (1/4 inch) slices. (The spoons should stop the knife from cutting all the way through.)

Into each slit in the zucchini, stuff a half (or whole) slice of pepperoni and a slice of cheese. The zucchini will begin to arch up. Don't worry--it will settle down when you bake it.

Place the zucchini on the prepared baking sheet and bake at 400 for about 20 minutes or until the cheese is nicely melted, the zucchini is almost straight again and the pepperoni is crisped.

Serve with marinara sauce for dipping. To eat: break off pieces of the cheesy zucchini and dip in your favorite marinara sauce.",0.7865000000000001,True,False,False,False
2,180253,Mozzarella-Pepperoncini Platter,https://spoonacular.com/recipeImages/180253-312x231.jpg,2,"['pepperoncini peppers', 'roasted red bell peppers']","[('pepperoncini peppers', 0.16), ('roasted red bell peppers', 0.0070999999999999995)]",0.1671,"1                               On serving platter, arrange mozzarella cheese slices in a single layer.                                                          2                               Sprinkle pepperoncini peppers and bell peppers over cheese.",0.4857,True,False,True,False
3,993356,Roasted Asparagus with Mozzarella,https://spoonacular.com/recipeImages/993356-312x231.jpg,2,"['asparagus', 'shredded mozzarella']","[('asparagus', 0.0089), ('shredded mozzarella', 0.4354)]",0.44430000000000003,"Instructions

Preheat oven to 425F (220C).
Cut an inch off the stems. Place them in a baking dish or in a cast iron skillet. Drizzle olive oil on them and sprinkle salt. Mix them with your hand so that they are evenly coated.
Bake for 20-25 minutes until tender. Remove from oven. Top them with shredded mozzarella and bake until the cheese melts and gets slightly golden, for about 3 minutes.
Serve immediately.",0.3347,True,False,True,False
4,491816,Roasted Mozzarella Potatoes,https://spoonacular.com/recipeImages/491816-312x231.jpg,3,"['italian seasoning', 'shredded mozzarella cheese', 'yukon gold potatoes']","[('italian seasoning', 0.0482), ('shredded mozzarella cheese', 0.4354), ('yukon gold potatoes', 0.0018)]",0.48540000000000005,"Preheat oven to 400 degrees F. Generously grease a large baking sheet or roasting pan.Add the potato cubes and drizzle with the oil, sprinkle with salt, pepper and the Italian seasoning. Use your hands to massage the oil and seasonings into the potatoes. Make a single layer of them and bake until fork tender 25 - 35 minutes.Remove the potatoes from the oven to a mixing bowl. Toss with sour cream and taste - season with additional salt and pepper if needed. Grease an 8x8-inch casserole pan and add the potatoes. Sprinkle the cheese over top. Bake about 20 minutes or until cheese is melted and golden.",0.9575,True,False,True,False
5,590760,French Bread Pizzas,https://spoonacular.com/recipeImages/590760-312x231.jpg,3,"['french bread', 'pizza sauce', 'shredded mozzarella cheese']","[('french bread', 0.0086), ('pizza sauce', 0.4813), ('shredded mozzarella cheese', 0.4354)]",0.9253,"Preheat oven to 400 degrees F.Slice bread in half lengthwise and place on a large baking sheet lined with aluminum foil. Brush cut side of each loaf with a little olive oil. Bake for 5-6 minutes, or until lightly browned.Spread 1/4 cup pizza sauce on each bread half, then top each with 1/4 cup cheese. Add desired toppings. Evenly sprinkle bread halves with remaining 1/2 cup cheese. Season with salt and pepper.Bake for 10-12 minutes, or until cheese is melted and bread is heated through.Enjoy!",1.4497,True,False,False,False
6,377432,Ravioli Lasagna,https://spoonacular.com/recipeImages/377432-312x231.jpg,3,"['cheese ravioli', 'part-skim mozzarella cheese', 'spaghetti sauce']","[('cheese ravioli', 0.8625), ('part-skim mozzarella cheese', 0.3139), ('spaghetti sauce', 0.4813)]",1.6577000000000002,"Directions                                                                                In a large skillet, cook beef over medium heat until no longer pink; drain. In a greased 2-1/2-qt. baking dish, layer a third of the spaghetti sauce, half of the ravioli and beef and 1/2 cup cheese; repeat layers. Top with remaining sauce and cheese.                                                                                           Cover and bake at 400° for 40-45 minutes or until heated through.                                        Yield: 6-8 servings.                                                                                                                         Originally published as Ravioli Lasagna in  Casserole Cookbook2001, p306                                                                                                                                                                                                       Nutritional Facts                                                                             1 serving (1-1/2 cups) equals 438 calories, 18 g fat (7 g saturated fat), 77 mg cholesterol, 1,178 mg sodium, 42 g carbohydrate, 5 g fiber, 26 g protein.                                                                                                                                                                     Print                                                                                    Add to Recipe Box                            Email a Friend",1.3529,False,False,False,False
7,279751,Cheesy Quinoa,https://spoonacular.com/recipeImages/279751-312x231.jpg,3,"['garlic', 'quinoa', 'shredded mozzarella cheese']","[('garlic', 0.0667), ('quinoa', 0.4107), ('shredded mozzarella cheese', 0.4354)]",0.9128000000000001,"Cook quinoa as directed on package, adding garlic to the cooking water along with the quinoa.                                            Add remaining ingredients; cook and stir 1 to 2 min. or until cheese is completely melted.",0.4102,True,False,True,False
8,279362,Mozza-Chicken Strips,https://spoonacular.com/recipeImages/279362-312x231.jpg,3,"['Low Moisture Part-Skim Mozzarella Cheese', 'ranch dressing', 'skinless boneless chicken breasts']","[('Low Moisture Part-Skim Mozzarella Cheese', 0.3139), ('ranch dressing', 0.2237), ('skinless boneless chicken breasts', 1.0019)]",1.5395,Preheat oven to 400F.  Coat chicken strips with coating mix as directed on package.                                              Place in single layer on foil-covered baking sheet.                                             Bake 20 min.; sprinkle with cheese.  Continue baking 5 min. or until cheese is melted.  Serve with the dressing for dipping.,0.1168,False,False,True,False
9,164934,Italian Vegetable Focaccia Sandwich,https://spoonacular.com/recipeImages/164934-312x231.jpg,3,"['bread', 'deli ham', 'shredded mozzarella cheese']","[('bread', 0.1), ('deli ham', 0.0033), ('shredded mozzarella cheese', 0.4354)]",0.5387,1                               Sprinkle bottom half of focaccia with 1 cup of the cheese. Spread vegetables over cheese. Sprinkle with remaining cheese.                                                          2                               Top with top of bread. Cut into wedges.,0.6283,False,False,False,False
