,id,recipe_name,recipe_image,nb_missed_ing,missed_ing,missing_prices,total_missing,instructions,price_per_serving,vegetarian,vegan,gluten_free,dairy_free
0,972917,Instant Pot Salmon (Fresh or Frozen),https://spoonacular.com/recipeImages/972917-312x231.jpg,0,[],[],0.0,"InstructionsPour a cup of water into the Instant Pot and arrange the metal trivet on top. Place the salmon fillets into a single layer on the trivet and sprinkle them generously with salt and pepper. Secure the lid and turn the pressure release valve to sealing. Use the manual setting to cook on high pressure for 3 minutes. (If using frozen fish fillets, cook them on high pressure for 5 minutes instead. No need to thaw.)When the cooking cycle has completed, quickly turn the pressure release valve to venting to release the pressure. Serve the fish warm with your favorite sauce and side dish. (See the notes in my post above for cooking vegetables with the fish.)",2.5180000000000002,False,False,True,True
1,1016387,Crispy Skin Salmon,https://spoonacular.com/recipeImages/1016387-312x231.jpg,0,[],[],0.0,"Pat the salmon dry with a paper towel. Sprinkle the skin side with a pinch or two of salt (no pepper at this point), and allow to rest for 5 minutes. The salt will draw more moisture out of the skin. (This translates to crispier skin!) Pat the skin completely dry again.
Heat the olive oil in a skillet over medium to medium-high (about 6 or 7 on a scale of 10). An uncoated pan or cast iron skillet will allow for a better sear than a nonstick skillet. Test the heat level by letting a drop of water fall onto the skillet. It should sizzle. (This will take approximately 3 minutes for a gas stove, 5 minutes for electric.)
Place the salmon skin side down in the pan. Do not move the fillets. Sprinkle the top of the fillets with a little salt and pepper, and allow the salmon to cook for 5 minutes or until the skin is well browned and the fillets are cooked about three quarters of the way through. Using a sturdy metal spatula, turn the fillets and cook until the fish is done to your liking. This could be a quick 15-30 seconds if you prefer your salmon pink in the center or another minute or so if you like your fish cooked through. (See Notes**)
For maximum crispness, serve immediately with the skin side up.",3.7862,False,False,True,True
2,1037584,Baked Salmon,https://spoonacular.com/recipeImages/1037584-312x231.jpg,1,['lemon wedges'],"[('lemon wedges', 0.0046)]",0.0046,"Let salmon rest on the counter for 15-30 minutes, until they have (at least mostly) come to room temperature.
Heat oven to 450F.  Line a baking sheet with aluminum foil (or use an oven-proof non-stick skillet).
Blot the salmon filets dry on all sides with paper towels.  Place the salmon skin-side-down the prepared baking sheet (or skillet).  If the ends of the salmon filets are really thin, just tuck them under a bit for even cooking.
Brush the salmon on all sides (except the bottom) with oil.  Sprinkle each filet with a generous pinch of salt and black pepper, along with any other dry seasonings you prefer.
Bake until the internal temperature of the salmon reaches 140F*, about 4-6 minutes per half inch of thickness (measured by the thickest part of the filet).  You can also test for doneness by inserting a fork or knife in the salmon and twisting it a bit; the fish should be opaque and flake easily.
Remove pan from the oven and transfer the salmon to a clean serving plate, either with the skin or leaving the skin behind.  Sprinkle each filet with a good squeeze of lemon juice, plus any extra fresh herbs or sauce that you prefer.  Then serve warm and enjoy!",3.8002999999999996,False,False,True,True
3,970626,Edamame Noodles with Salmon,https://spoonacular.com/recipeImages/970626-312x231.jpg,1,['edamame'],"[('edamame', 0.5813)]",0.5813,"Cook the noodles according the package directions, drain and set aside.
Heat some olive oil in a skillet and cook the salmon a few minutes on each side until it easily flakes with a fork.
Season the salmon with salt and pepper.
Toss the edamame spaghetti with olive oil and serve with the salmon fillets.",3.9451,False,False,True,True
4,1021030,Roasted Pesto Salmon,https://spoonacular.com/recipeImages/1021030-312x231.jpg,1,['pesto'],"[('pesto', 0.2571)]",0.2571,"InstructionsPreheat oven to 400 and line a rimmed baking dish with foil.Place the salmon filets on the foil and spread generously with pesto.Roast for 10 minutes.  Grind some fresh pepper on top and serve!  We like this recipe with cauliflower rice, but regular rice, polenta, grits or orzo pasta would also be great.",4.2913,False,False,True,True
5,1111585,Slow Roasted Salmon,https://spoonacular.com/recipeImages/1111585-312x231.jpeg,1,['green onions'],"[('green onions', 0.039599999999999996)]",0.039599999999999996,"Preheat the oven to 250, and line a rimmed baking sheet with parchment paper or foil. Place the salmon on the baking sheet, skin side down, and rub the fish all over with the olive oil. Season well with salt and pepper. Option: If desired, you may place a layer of the thinly sliced aromaticschoose one or severalunder the salmon prior to roasting. This will infuse a little extra flavor into the fish as it cooks.
Bake the salmon until it is opaque on the outside and just barely cooked through the center, 20 to 25 minutes. The internal temperature should read 120or just cut into the thick end and peek inside. (Tip: When cooking leaner wild salmon fillets like Sockeye, I have found the time to be right at 20 minutes, give or take a minute or two. Extra time will likely be needed for farmed and thick wild fillets; simply cook until the fish registers an internal temperature of 120.)
Let stand for 5 minutes before serving.Serve as is or with your choice of citrus wedges or any of your favorite salsas or sauces.",0.9952,False,False,True,True
6,516261,Honey Glazed Grilled Salmon,https://spoonacular.com/recipeImages/516261-312x231.png,2,"['ginger', 'honey']","[('ginger', 0.0111), ('honey', 0.08539999999999999)]",0.09649999999999999,"Preheat an indoor grill (can also use outdoor grill).Cut the salmon fillet into individual pieces (I got four pieces out of mine).Sprinkle salt and pepper over the top side to season.In a small bowl, mix honey, soy sauce and ginger together with a fork.Place the salmon SKIN SIDE UP on the grill, and close. Cook for 3 minutes, then flip and close grill again.Cook for 2 minutes, then brush the glaze over the salmon and close again.After 30 seconds, re-open and brush glaze over the salmon. Repeat this a few times until the salmon is fully cooked (you can check by flaking a pieces off with a fork - should come off easily).",5.167000000000001,False,False,True,True
7,1140127,3-Ingredient Blackened Salmon Recipe,https://spoonacular.com/recipeImages/1140127-312x231.jpg,2,"['salmon fillet', 'barbecue seasoning']","[('salmon fillet', 3.7739999999999996), ('barbecue seasoning', 0.0264)]",3.8004,,2.6568,False,False,True,True
8,1109950,The Best Grilled Salmon,https://spoonacular.com/recipeImages/1109950-312x231.jpg,2,"['salmon fillets', 'lemon']","[('salmon fillets', 3.7739999999999996), ('lemon', 0.032400000000000005)]",3.8063999999999996,"Instructions

Prepare the grill for direct cooking over high heat, 450F-550F. Brush the cooking grates clean and close the lid to heat.

Generously coat the flesh side of the salmon fillets with oil and season evenly with kosher salt and black pepper. Grill the salmon skin side down over direct high heat with the lid closed, for about 6-8 minutes or until the fish lightens in color, becomes more firm to the touch and you can lift the fillets off the cooking grates without them sticking. 

Turn the salmon over, close the lid, and cook to 130F or about 2-4 minutes for medium rare or longer to desired doneness. Transfer to a platter to rest for 1-2 minutes. Slide the salmon skin from the fillets and serve with wedges of lemon and tartar or cucumber dill sauce.",3.9795,False,False,True,True
9,245794,Miso Glazed Salmon,https://spoonacular.com/recipeImages/245794-312x231.jpg,3,"['red miso', 'sake', 'salmon fillets']","[('red miso', 0.10039999999999999), ('sake', 0.016), ('salmon fillets', 3.7739999999999996)]",3.8903999999999996,"Mix the miso, sake, soy sauce, and sugar in a small bowl. Adjust proportions to taste.

Marinate the salmon: Pour half of the mixture into a container large enough to fit the salmon fillets, then pour the rest over the top of the fish. Make sure the fish is coated with the miso sauce.
Cover the container and marinate for at least 30 minutes, and up to overnight.

Broil the salmon: Line a broiling pan with aluminum foil. Brush a little vegetable oil over the foil and lay the salmon fillets on top. Make sure there is an even, thin coating of marinade on top of the fish.
Place the fillets no closer than about 6 inches from the broiler element in your oven. Broil for 6-10 minutes, depending on how thick the fillets are and how hot your broiler is.
 
Keep an eye on the salmon. The marinade has sugar in it that can easily cause the glaze to burn. If it starts charring and the cooking isn't yet finished, place the fish on a lower rack in the oven.
Serve with rice and stir-fried vegetables.",4.7778,False,False,True,True
